tune,measure,chord,preceding_chord,following_chord,function,opportunity_type,opportunity_window,harmonic_state,melody_space,musical_preconditions,lick_family,lick_segment,operation,strategy,entry_beat,pickup_allowance,target_note,exit_note,resolution,continuation_required,minimum_harmonic_duration,preferred_harmonic_duration,maximum_useful_duration,source_fingering_area,practical_fingering_area,tier,confidence,reason,restriction,review_example
Sitting on Top of the World,7,G/D,Em,G,I/V split,split-measure connector,second half dominant,second half dominant,unknown from supplied harmony; confirm against melody/rehearsal,provisional half-measure D; G follows,from 3,two-beat D13 fragment,literal transposition plus segment extraction,PRIMARY,3 provisional,up to one beat unless marked split,A,A,G on m8 beat 1,yes,2 beats,2 beats,2 beats,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",2,0.74,D in the second half points directly to G.,Exact split beat and shortened phrase require approval.,no
Southern Flavor,7,B7,Em,B7,V of Em,dominant continuation,first dominant measure,first dominant measure,unknown from supplied harmony; confirm against melody/rehearsal,two-measure B7; minor tonic follows,from 3,dominant family with minor ending,chord-relative transformation,PRIMARY,1,up to one beat unless marked split,F#,F#,G on Em,yes,1 measure,2 measures,2 measures,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",2,0.73,The dominant duration is strong.,Minor-resolution variant does not yet exist.,no
Walls of Time,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,F m8: no approved static-IV or departing-IV phrase,Do not force pitch-class overlap.,no
I Feel the Blues Movin' In,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,D/G split measures: exact split beat and short connector unapproved,Do not force pitch-class overlap.,no
Farewell Blues,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,D/D# regions: chord quality and split function unresolved,Do not force pitch-class overlap.,no
Dig a Hole in the Meadow,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,C/G m7: short split connector not yet approved,Do not force pitch-class overlap.,no
Sarafina,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,Bm and Em measures: current major corpus does not cover minor tonic areas,Do not force pitch-class overlap.,no
Trail of Tears,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,Em tonic vamp: no current minor-tonic BH-5432 family,Do not force pitch-class overlap.,no
"Perfume, Powder and Lead",various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,D/G splits: need an approved two-beat D-to-G connector,Do not force pitch-class overlap.,no
Rank Strangers,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,Am m53: no current minor-tonic application,Do not force pitch-class overlap.,no
Dear Old Dixie,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,B7-to-C and G-to-Em: non-diatonic/minor landings need dedicated variants,Do not force pitch-class overlap.,no
Bright Sunny South,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,Dsus2 plateau: no approved suspended-dominant version,Do not force pitch-class overlap.,no
Somehow Tonight,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,one-measure D m15: full phrase is possible but crowded near form ending,Do not force pitch-class overlap.,no
Can't You Hear Me Calling,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,rapid final C-D-G: only the D measure is currently recommended,Do not force pitch-class overlap.,no
Sitting on Top of the World,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,Em m6 and both split measures need minor/short variants,Do not force pitch-class overlap.,no
Southern Flavor,various,various,various,various,unsupported,currently unsupported,unsuitable region,unsuitable region,unknown from supplied harmony; confirm against melody/rehearsal,"minor, suspended, ambiguous, or rapid harmony",none,none,none,PRIMARY,n/a,up to one beat unless marked split,n/a,n/a,none,no,n/a,n/a,n/a,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",4,1.00,Em tonic spans: no current minor-tonic family,Do not force pitch-class overlap.,no
